FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2210101035--31722-0-13416-2210101300,278.6,0,10/10/2022 10:35:00 AM,10/10/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210100850--32695-0-13416-2210101119,276.96,0,10/10/2022 8:50:00 AM,10/10/2022 11:19:00 AM,269,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2210101540--32646-0-13416-2210101800,280.86,0,10/10/2022 3:40:00 PM,10/10/2022 6:00:00 PM,260,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2210102159--31825-0-13416-2210110039,164.15,0,10/10/2022 9:59:00 PM,10/11/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210101035--32531-0-13416-2210101300,276.96,0,10/10/2022 10:35:00 AM,10/10/2022 1:00:00 PM,265,,Azul Airlines,Chicago O'Hare International,Los Angeles International
15062-2210101540--31722-0-13416-2210101800,278.6,0,10/10/2022 3:40:00 PM,10/10/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210100712--31694-0-13416-2210100943,263.79,0,10/10/2022 7:12:00 AM,10/10/2022 9:43:00 AM,271,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2210102013--31722-0-13416-2210102244,238.6,0,10/10/2022 8:13:00 PM,10/10/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210112013--31722-0-13416-2210112244,198.6,0,10/11/2022 8:13:00 PM,10/11/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210110712--31722-0-13416-2210110943,198.6,0,10/11/2022 7:12:00 AM,10/11/2022 9:43:00 AM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210111930--31825-0-13416-2210112207,123.85,0,10/11/2022 7:30:00 PM,10/11/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210110850--31722-0-13416-2210111119,198.6,0,10/11/2022 8:50:00 AM,10/11/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210110822--31825-0-13416-2210111055,132.01,0,10/11/2022 8:22:00 AM,10/11/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210110545--31825-1-13416-2210110945,84.8,1,10/11/2022 5:45:00 AM,10/11/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210111758--31722-0-13416-2210112033,198.6,0,10/11/2022 5:58:00 PM,10/11/2022 8:33:00 PM,275,,United,Chicago O'Hare International,Los Angeles International
15062-2210111540--32544-0-13416-2210111800,204.21,0,10/11/2022 3:40:00 PM,10/11/2022 6:00:00 PM,260,,Austrian Airlines,Chicago O'Hare International,Los Angeles International
15062-2210112159--31825-0-13416-2210120039,91,0,10/11/2022 9:59:00 PM,10/12/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210111540--31722-0-13416-2210111800,198.6,0,10/11/2022 3:40:00 PM,10/11/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210120850--31722-0-13416-2210121119,198.6,0,10/12/2022 8:50:00 AM,10/12/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210120545--31825-1-13416-2210121021,109.58,1,10/12/2022 5:45:00 AM,10/12/2022 10:21:00 AM,396,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210122159--31825-0-13416-2210130039,91,0,10/12/2022 9:59:00 PM,10/13/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210121035--31722-0-13416-2210121300,198.6,0,10/12/2022 10:35:00 AM,10/12/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210122145--31825-1-13416-2210130708,89.58,1,10/12/2022 9:45:00 PM,10/13/2022 7:08:00 AM,683,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210121930--31825-0-13416-2210122207,128.59,0,10/12/2022 7:30:00 PM,10/12/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210120712--31722-0-13416-2210120943,198.6,0,10/12/2022 7:12:00 AM,10/12/2022 9:43:00 AM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210121254--31722-0-13416-2210121525,198.6,0,10/12/2022 12:54:00 PM,10/12/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210121209--31825-1-13416-2210121936,89.58,1,10/12/2022 12:09:00 PM,10/12/2022 7:36:00 PM,567,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210120822--31825-0-13416-2210121055,198.59,0,10/12/2022 8:22:00 AM,10/12/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210131930--31825-0-13416-2210132207,128.59,0,10/13/2022 7:30:00 PM,10/13/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
