FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2211071515--32573-0-13416-2211071742,198.39,0,11/7/2022 3:15:00 PM,11/7/2022 5:42:00 PM,267,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071250--31722-1-13416-2211071725,351.6,1,11/7/2022 12:50:00 PM,11/7/2022 5:25:00 PM,395,,United,Chicago O'Hare International,Los Angeles International
15062-2211070720--31722,-32593-1-13416-2211071354,1561.79,1,11/7/2022 7:20:00 AM,11/7/2022 1:54:00 PM,514,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071945--32626-0-13416-2211072219,188.1,0,11/7/2022 7:45:00 PM,11/7/2022 10:19:00 PM,274,,Air Tahiti Nui,Chicago O'Hare International,Los Angeles International
15062-2211070600--31722-1-13416-2211072013,253.2,1,11/7/2022 6:00:00 AM,11/7/2022 8:13:00 PM,973,,United,Chicago O'Hare International,Los Angeles International
15062-2211071800--31825-1-13416-2211080701,740.0699999999999,1,11/7/2022 6:00:00 PM,11/8/2022 7:01:00 AM,901,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071750--31722-1-13416-2211081133,246.2,1,11/7/2022 5:50:00 PM,11/8/2022 11:33:00 AM,1183,,United,Chicago O'Hare International,Los Angeles International
15062-2211071600--32385-1-13416-2211072157,437.6,1,11/7/2022 4:00:00 PM,11/7/2022 9:57:00 PM,477,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211071413--31722,-32695-1-13416-2211072137,1304.37,1,11/7/2022 2:13:00 PM,11/7/2022 9:37:00 PM,564,,United,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211070912--31722,-32593-2-13416-2211071940,1039.94,2,11/7/2022 9:12:00 AM,11/7/2022 7:40:00 PM,748,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071545--32090,-32646-1-13416-2211080009,362.77,1,11/7/2022 3:45:00 PM,11/8/2022 12:09:00 AM,624,,Lufthansa,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211070945--32385-1-13416-2211071615,498.6,1,11/7/2022 9:45:00 AM,11/7/2022 4:15:00 PM,510,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211070700--32593-1-13416-2211071632,2499.71,1,11/7/2022 7:00:00 AM,11/7/2022 4:32:00 PM,692,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070640--32184-0-13416-2211070906,197.71,0,11/7/2022 6:40:00 AM,11/7/2022 9:06:00 AM,266,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071755--31829-1-13416-2211072340,160.69,1,11/7/2022 5:55:00 PM,11/7/2022 11:40:00 PM,465,,Southwest Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071313--32480-0-13416-2211071555,167.81,0,11/7/2022 1:13:00 PM,11/7/2022 3:55:00 PM,282,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2211071245--32695,-32407-1-13416-2211072131,518.03,1,11/7/2022 12:45:00 PM,11/7/2022 9:31:00 PM,646,,Air Canada,Copa,Chicago O'Hare International,Los Angeles International
15062-2211071725--32573-1-13416-2211072222,293.91,1,11/7/2022 5:25:00 PM,11/7/2022 10:22:00 PM,417,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070601--31722-1-13416-2211072013,226.19,1,11/7/2022 6:01:00 AM,11/7/2022 8:13:00 PM,972,,United,Chicago O'Hare International,Los Angeles International
15062-2211071247--31722-1-13416-2211072246,254.2,1,11/7/2022 12:47:00 PM,11/7/2022 10:46:00 PM,719,,United,Chicago O'Hare International,Los Angeles International
15062-2211071422--32695-0-13416-2211071655,302.61,0,11/7/2022 2:22:00 PM,11/7/2022 4:55:00 PM,273,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211071405--32646,-32571-1-13416-2211072155,206.7,1,11/7/2022 2:05:00 PM,11/7/2022 9:55:00 PM,590,,Air New Zealand,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211071355--31722-1-13416-2211072135,539.6,1,11/7/2022 1:55:00 PM,11/7/2022 9:35:00 PM,580,,United,Chicago O'Hare International,Los Angeles International
15062-2211071245--31722-1-13416-2211072013,286.6,1,11/7/2022 12:45:00 PM,11/7/2022 8:13:00 PM,568,,United,Chicago O'Hare International,Los Angeles International
15062-2211071250--31722,-32593-2-13416-2211072035,416.8,2,11/7/2022 12:50:00 PM,11/7/2022 8:35:00 PM,585,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070956--31722,-32593-1-13416-2211071547,507.6,1,11/7/2022 9:56:00 AM,11/7/2022 3:47:00 PM,471,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070745--31722-1-13416-2211071409,576.6,1,11/7/2022 7:45:00 AM,11/7/2022 2:09:00 PM,504,,United,Chicago O'Hare International,Los Angeles International
15062-2211071250--31697-1-13416-2211072030,250.73,1,11/7/2022 12:50:00 PM,11/7/2022 8:30:00 PM,580,,Virgin Atlantic,Chicago O'Hare International,Los Angeles International
15062-2211071808--32093-0-13416-2211072044,197.55,0,11/7/2022 6:08:00 PM,11/7/2022 8:44:00 PM,276,,LOT,Chicago O'Hare International,Los Angeles International
15062-2211071035--32695,-32571-1-13416-2211072155,301.9,1,11/7/2022 10:35:00 AM,11/7/2022 9:55:00 PM,800,,Air Canada,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211070600--32128,-31697-1-13416-2211071340,373.1,1,11/7/2022 6:00:00 AM,11/7/2022 1:40:00 PM,580,,Korean Air,Virgin Atlantic,Chicago O'Hare International,Los Angeles International
15062-2211070540--32385-1-13416-2211071145,498.6,1,11/7/2022 5:40:00 AM,11/7/2022 11:45:00 AM,485,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211071049--31722-1-13416-2211071852,426.6,1,11/7/2022 10:49:00 AM,11/7/2022 6:52:00 PM,603,,United,Chicago O'Hare International,Los Angeles International
15062-2211071750--31722-1-13416-2211072155,351.6,1,11/7/2022 5:50:00 PM,11/7/2022 9:55:00 PM,365,,United,Chicago O'Hare International,Los Angeles International
15062-2211071250--32695,-32646-1-13416-2211071725,433.49,1,11/7/2022 12:50:00 PM,11/7/2022 5:25:00 PM,395,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211070901--31722-1-13416-2211071735,505.61,1,11/7/2022 9:01:00 AM,11/7/2022 5:35:00 PM,634,,United,Chicago O'Hare International,Los Angeles International
15062-2211071545--31722-1-13416-2211072131,426.6,1,11/7/2022 3:45:00 PM,11/7/2022 9:31:00 PM,466,,United,Chicago O'Hare International,Los Angeles International
15062-2211071808--32695-0-13416-2211072044,186.6,0,11/7/2022 6:08:00 PM,11/7/2022 8:44:00 PM,276,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211072107--31722-1-13416-2211081133,156.19,1,11/7/2022 9:07:00 PM,11/8/2022 11:33:00 AM,986,,United,Chicago O'Hare International,Los Angeles International
15062-2211070655--31722-1-13416-2211071216,528.6,1,11/7/2022 6:55:00 AM,11/7/2022 12:16:00 PM,441,,United,Chicago O'Hare International,Los Angeles International
15062-2211071817--31722,-32593-1-13416-2211072357,2336.1,1,11/7/2022 6:17:00 PM,11/7/2022 11:57:00 PM,460,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070700--32573-1-13416-2211071143,343.12,1,11/7/2022 7:00:00 AM,11/7/2022 11:43:00 AM,403,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071250--31722,-32593-1-13416-2211072110,1521.3000000000002,1,11/7/2022 12:50:00 PM,11/7/2022 9:10:00 PM,620,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071209--31825-1-13416-2211071931,1237.45,1,11/7/2022 12:09:00 PM,11/7/2022 7:31:00 PM,562,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070901--31722,-32593-1-13416-2211071632,1521.3000000000002,1,11/7/2022 9:01:00 AM,11/7/2022 4:32:00 PM,571,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071545--32573-1-13416-2211071944,293.91,1,11/7/2022 3:45:00 PM,11/7/2022 7:44:00 PM,359,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211072129--31722-1-13416-2211081017,240.2,1,11/7/2022 9:29:00 PM,11/8/2022 10:17:00 AM,888,,United,Chicago O'Hare International,Los Angeles International
15062-2211070710--32385-1-13416-2211071206,437.6,1,11/7/2022 7:10:00 AM,11/7/2022 12:06:00 PM,416,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211072015--31722-1-13416-2211080916,256.2,1,11/7/2022 8:15:00 PM,11/8/2022 9:16:00 AM,901,,United,Chicago O'Hare International,Los Angeles International
15062-2211070847--31722-1-13416-2211071409,662.6,1,11/7/2022 8:47:00 AM,11/7/2022 2:09:00 PM,442,,United,Chicago O'Hare International,Los Angeles International
15062-2211071359--31722-1-13416-2211072246,286.6,1,11/7/2022 1:59:00 PM,11/7/2022 10:46:00 PM,647,,United,Chicago O'Hare International,Los Angeles International
15062-2211071315--32593-1-13416-2211071850,3545.3,1,11/7/2022 1:15:00 PM,11/7/2022 6:50:00 PM,455,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071330--32573-1-13416-2211071944,343.12,1,11/7/2022 1:30:00 PM,11/7/2022 7:44:00 PM,494,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071358--32573-1-13416-2211071910,600.99,1,11/7/2022 1:58:00 PM,11/7/2022 7:10:00 PM,432,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070540--32733,-31679-1-13416-2211071145,503.64,1,11/7/2022 5:40:00 AM,11/7/2022 11:45:00 AM,485,,Aeromexico,WestJet,Chicago O'Hare International,Los Angeles International
15062-2211070952--32573-0-13416-2211071231,198.39,0,11/7/2022 9:52:00 AM,11/7/2022 12:31:00 PM,279,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071305--32480,-32593-1-13416-2211071810,596.39,1,11/7/2022 1:05:00 PM,11/7/2022 6:10:00 PM,425,,British Airways,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070853--31722,-31679-1-13416-2211071640,1633.83,1,11/7/2022 8:53:00 AM,11/7/2022 4:40:00 PM,587,,United,WestJet,Chicago O'Hare International,Los Angeles International
15062-2211070615--32695-0-13416-2211070848,132.8,0,11/7/2022 6:15:00 AM,11/7/2022 8:48:00 AM,273,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211071125--31722-2-13416-2211071725,530.1,2,11/7/2022 11:25:00 AM,11/7/2022 5:25:00 PM,480,,United,Chicago O'Hare International,Los Angeles International
15062-2211071422--31694-0-13416-2211071655,289.39,0,11/7/2022 2:22:00 PM,11/7/2022 4:55:00 PM,273,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211071550--31722-1-13416-2211072049,351.6,1,11/7/2022 3:50:00 PM,11/7/2022 8:49:00 PM,419,,United,Chicago O'Hare International,Los Angeles International
15062-2211071035--31722-1-13416-2211071501,306.6,1,11/7/2022 10:35:00 AM,11/7/2022 3:01:00 PM,386,,United,Chicago O'Hare International,Los Angeles International
15062-2211071245--32646-1-13416-2211071843,504.01,1,11/7/2022 12:45:00 PM,11/7/2022 6:43:00 PM,478,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211071750--31799,-32571-1-13416-2211072155,311.75,1,11/7/2022 5:50:00 PM,11/7/2022 9:55:00 PM,365,,SWISS,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211071036--31722,-32593-1-13416-2211071613,2336.1,1,11/7/2022 10:36:00 AM,11/7/2022 4:13:00 PM,457,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070720--32695,-32646-1-13416-2211071746,379.54,1,11/7/2022 7:20:00 AM,11/7/2022 5:46:00 PM,746,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211071300--32573-1-13416-2211071715,446.22,1,11/7/2022 1:00:00 PM,11/7/2022 5:15:00 PM,375,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071730--32385-1-13416-2211072317,437.6,1,11/7/2022 5:30:00 PM,11/7/2022 11:17:00 PM,467,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211070853--31722,-32695-1-13416-2211071653,668.89,1,11/7/2022 8:53:00 AM,11/7/2022 4:53:00 PM,600,,United,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211071402--31722-1-13416-2211072246,286.6,1,11/7/2022 2:02:00 PM,11/7/2022 10:46:00 PM,644,,United,Chicago O'Hare International,Los Angeles International
15062-2211070715--32695,-32646-1-13416-2211071132,240.13,1,11/7/2022 7:15:00 AM,11/7/2022 11:32:00 AM,377,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211070847--31722-1-13416-2211071535,497.6,1,11/7/2022 8:47:00 AM,11/7/2022 3:35:00 PM,528,,United,Chicago O'Hare International,Los Angeles International
15062-2211070905--31722-0-13416-2211071132,138.6,0,11/7/2022 9:05:00 AM,11/7/2022 11:32:00 AM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2211070952--32626-0-13416-2211071231,188.1,0,11/7/2022 9:52:00 AM,11/7/2022 12:31:00 PM,279,,Air Tahiti Nui,Chicago O'Hare International,Los Angeles International
15062-2211070700--32593-2-13416-2211071613,1379.93,2,11/7/2022 7:00:00 AM,11/7/2022 4:13:00 PM,673,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071957--32646-0-13416-2211072233,186.6,0,11/7/2022 7:57:00 PM,11/7/2022 10:33:00 PM,276,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211071315--32593-1-13416-2211072152,2336.84,1,11/7/2022 1:15:00 PM,11/7/2022 9:52:00 PM,637,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070817--32573-1-13416-2211071252,293.91,1,11/7/2022 8:17:00 AM,11/7/2022 12:52:00 PM,395,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071250--32385-1-13416-2211072030,248.6,1,11/7/2022 12:50:00 PM,11/7/2022 8:30:00 PM,580,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211071545--31722-0-13416-2211071812,138.6,0,11/7/2022 3:45:00 PM,11/7/2022 6:12:00 PM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2211070845--32695,-32571-1-13416-2211071503,476.47,1,11/7/2022 8:45:00 AM,11/7/2022 3:03:00 PM,498,,Air Canada,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211070825--32184,-31940-1-13416-2211071715,504.15,1,11/7/2022 8:25:00 AM,11/7/2022 5:15:00 PM,650,,Japan Airlines,Qantas,Chicago O'Hare International,Los Angeles International
15062-2211071426--31722,-32593-1-13416-2211072028,2402.5,1,11/7/2022 2:26:00 PM,11/7/2022 8:28:00 PM,482,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211072159--31825-0-13416-2211080040,752.4300000000001,0,11/7/2022 9:59:00 PM,11/8/2022 12:40:00 AM,281,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071930--32480,-32593-1-13416-2211080837,295.04,1,11/7/2022 7:30:00 PM,11/8/2022 8:37:00 AM,907,,British Airways,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070830--32573-1-13416-2211071420,446.22,1,11/7/2022 8:30:00 AM,11/7/2022 2:20:00 PM,470,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070850--31722-1-13416-2211071725,457.2,1,11/7/2022 8:50:00 AM,11/7/2022 5:25:00 PM,635,,United,Chicago O'Hare International,Los Angeles International
15062-2211072110--31722-1-13416-2211081113,254.2,1,11/7/2022 9:10:00 PM,11/8/2022 11:13:00 AM,963,,United,Chicago O'Hare International,Los Angeles International
15062-2211070500--32573-1-13416-2211071020,490.63,1,11/7/2022 5:00:00 AM,11/7/2022 10:20:00 AM,440,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071245--32695,-32090-1-13416-2211071743,532.67,1,11/7/2022 12:45:00 PM,11/7/2022 5:43:00 PM,418,,Air Canada,Lufthansa,Chicago O'Hare International,Los Angeles International
15062-2211071512--32573-1-13416-2211072021,446.22,1,11/7/2022 3:12:00 PM,11/7/2022 8:21:00 PM,429,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070912--31722,-32593-1-13416-2211071555,515.61,1,11/7/2022 9:12:00 AM,11/7/2022 3:55:00 PM,523,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071600--31697-1-13416-2211072351,426.28,1,11/7/2022 4:00:00 PM,11/7/2022 11:51:00 PM,591,,Virgin Atlantic,Chicago O'Hare International,Los Angeles International
15062-2211071600--31825-0-13416-2211071834,1655.8000000000002,0,11/7/2022 4:00:00 PM,11/7/2022 6:34:00 PM,274,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071716--32480,-32456-1-13416-2211072132,341.94,1,11/7/2022 5:16:00 PM,11/7/2022 9:32:00 PM,376,,British Airways,Cathay Pacific,Chicago O'Hare International,Los Angeles International
15062-2211070956--31722-1-13416-2211071532,551.6,1,11/7/2022 9:56:00 AM,11/7/2022 3:32:00 PM,456,,United,Chicago O'Hare International,Los Angeles International
15062-2211071750--32593-1-13416-2211072357,3648.1799999999994,1,11/7/2022 5:50:00 PM,11/7/2022 11:57:00 PM,487,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070600--32385-1-13416-2211071340,368.6,1,11/7/2022 6:00:00 AM,11/7/2022 1:40:00 PM,580,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211071550--32478,-32571-1-13416-2211072049,357.08,1,11/7/2022 3:50:00 PM,11/7/2022 8:49:00 PM,419,,Brussels Airlines,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211070505--31825-0-13416-2211070738,752.4300000000001,0,11/7/2022 5:05:00 AM,11/7/2022 7:38:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070954--32385-1-13416-2211071455,498.6,1,11/7/2022 9:54:00 AM,11/7/2022 2:55:00 PM,421,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211070700--32593-2-13416-2211071555,563.3,2,11/7/2022 7:00:00 AM,11/7/2022 3:55:00 PM,655,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211072121--31722-0-13416-2211072359,138.6,0,11/7/2022 9:21:00 PM,11/7/2022 11:59:00 PM,278,,United,Chicago O'Hare International,Los Angeles International
15062-2211070819--32184-0-13416-2211071049,188.1,0,11/7/2022 8:19:00 AM,11/7/2022 10:49:00 AM,270,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071035--31722-0-13416-2211071257,194.6,0,11/7/2022 10:35:00 AM,11/7/2022 12:57:00 PM,262,,United,Chicago O'Hare International,Los Angeles International
15062-2211071425--32593-1-13416-2211072110,3190.1,1,11/7/2022 2:25:00 PM,11/7/2022 9:10:00 PM,525,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071641--32480,-32080-1-13416-2211072200,162.8,1,11/7/2022 4:41:00 PM,11/7/2022 10:00:00 PM,439,,British Airways,Malaysia Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071553--31722-1-13416-2211072348,306.6,1,11/7/2022 3:53:00 PM,11/7/2022 11:48:00 PM,595,,United,Chicago O'Hare International,Los Angeles International
15062-2211071551--32385-1-13416-2211072054,368.6,1,11/7/2022 3:51:00 PM,11/7/2022 8:54:00 PM,423,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211070655--31722,-32593-1-13416-2211071300,2341.68,1,11/7/2022 6:55:00 AM,11/7/2022 1:00:00 PM,485,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070819--32573-0-13416-2211071049,198.39,0,11/7/2022 8:19:00 AM,11/7/2022 10:49:00 AM,270,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071540--32171-1-13416-2211080119,1411.3200000000002,1,11/7/2022 3:40:00 PM,11/8/2022 1:19:00 AM,699,,jetBlue,Chicago O'Hare International,Los Angeles International
15062-2211071415--31722-1-13416-2211072150,426.6,1,11/7/2022 2:15:00 PM,11/7/2022 9:50:00 PM,575,,United,Chicago O'Hare International,Los Angeles International
15062-2211070715--31722,-32593-2-13416-2211071525,987.5,2,11/7/2022 7:15:00 AM,11/7/2022 3:25:00 PM,610,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070845--31722,-32593-1-13416-2211071613,951.79,1,11/7/2022 8:45:00 AM,11/7/2022 4:13:00 PM,568,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071817--31722-1-13416-2211080009,426.6,1,11/7/2022 6:17:00 PM,11/8/2022 12:09:00 AM,472,,United,Chicago O'Hare International,Los Angeles International
15062-2211071641--32480,-31940-1-13416-2211072200,176.96,1,11/7/2022 4:41:00 PM,11/7/2022 10:00:00 PM,439,,British Airways,Qantas,Chicago O'Hare International,Los Angeles International
15062-2211070750--32571-0-13416-2211071010,197.55,0,11/7/2022 7:50:00 AM,11/7/2022 10:10:00 AM,260,,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211070601--31722-1-13416-2211071348,771.61,1,11/7/2022 6:01:00 AM,11/7/2022 1:48:00 PM,587,,United,Chicago O'Hare International,Los Angeles International
15062-2211071212--31722-1-13416-2211072013,286.6,1,11/7/2022 12:12:00 PM,11/7/2022 8:13:00 PM,601,,United,Chicago O'Hare International,Los Angeles International
15062-2211071945--31799,-32646-1-13416-2211080907,189.72,1,11/7/2022 7:45:00 PM,11/8/2022 9:07:00 AM,922,,SWISS,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211071035--31722,-32593-2-13416-2211071834,634.91,2,11/7/2022 10:35:00 AM,11/7/2022 6:34:00 PM,599,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211072106--31722-1-13416-2211081113,254.2,1,11/7/2022 9:06:00 PM,11/8/2022 11:13:00 AM,967,,United,Chicago O'Hare International,Los Angeles International
15062-2211071650--32573-1-13416-2211072137,446.22,1,11/7/2022 4:50:00 PM,11/7/2022 9:37:00 PM,407,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071035--31722,-32695-1-13416-2211071923,1378.01,1,11/7/2022 10:35:00 AM,11/7/2022 7:23:00 PM,648,,United,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211071100--31722-1-13416-2211072246,272.2,1,11/7/2022 11:00:00 AM,11/7/2022 10:46:00 PM,826,,United,Chicago O'Hare International,Los Angeles International
15062-2211071105--31829-2-13416-2211071835,186.4,2,11/7/2022 11:05:00 AM,11/7/2022 6:35:00 PM,570,,Southwest Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070700--32593-1-13416-2211071348,4288.71,1,11/7/2022 7:00:00 AM,11/7/2022 1:48:00 PM,528,,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071246--32695-0-13416-2211071519,347.93,0,11/7/2022 12:46:00 PM,11/7/2022 3:19:00 PM,273,,Air Canada,Chicago O'Hare International,Los Angeles International
15062-2211072107--31722-1-13416-2211080940,206.2,1,11/7/2022 9:07:00 PM,11/8/2022 9:40:00 AM,873,,United,Chicago O'Hare International,Los Angeles International
15062-2211070655--32646-1-13416-2211071216,537.44,1,11/7/2022 6:55:00 AM,11/7/2022 12:16:00 PM,441,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211070955--32573-1-13416-2211071538,446.22,1,11/7/2022 9:55:00 AM,11/7/2022 3:38:00 PM,463,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071305--31722-1-13416-2211072001,351.6,1,11/7/2022 1:05:00 PM,11/7/2022 8:01:00 PM,536,,United,Chicago O'Hare International,Los Angeles International
15062-2211072121--32090-0-13416-2211072359,141.45,0,11/7/2022 9:21:00 PM,11/7/2022 11:59:00 PM,278,,Lufthansa,Chicago O'Hare International,Los Angeles International
15062-2211071515--32480-0-13416-2211071742,385.81,0,11/7/2022 3:15:00 PM,11/7/2022 5:42:00 PM,267,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2211071205--32573-1-13416-2211071719,446.22,1,11/7/2022 12:05:00 PM,11/7/2022 5:19:00 PM,434,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211070545--31722-1-13416-2211071142,558.61,1,11/7/2022 5:45:00 AM,11/7/2022 11:42:00 AM,477,,United,Chicago O'Hare International,Los Angeles International
15062-2211071816--31722-1-13416-2211080102,286.6,1,11/7/2022 6:16:00 PM,11/8/2022 1:02:00 AM,526,,United,Chicago O'Hare International,Los Angeles International
15062-2211071100--32385-1-13416-2211071647,758.6,1,11/7/2022 11:00:00 AM,11/7/2022 4:47:00 PM,467,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211070845--31722,-32593-2-13416-2211071834,1002,2,11/7/2022 8:45:00 AM,11/7/2022 6:34:00 PM,709,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071405--31722-1-13416-2211072030,286.6,1,11/7/2022 2:05:00 PM,11/7/2022 8:30:00 PM,505,,United,Chicago O'Hare International,Los Angeles International
15062-2211071402--31722-1-13416-2211080102,254.2,1,11/7/2022 2:02:00 PM,11/8/2022 1:02:00 AM,780,,United,Chicago O'Hare International,Los Angeles International
15062-2211070750--31694-0-13416-2211071010,186.6,0,11/7/2022 7:50:00 AM,11/7/2022 10:10:00 AM,260,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2211070545--32171-1-13416-2211071304,1894.46,1,11/7/2022 5:45:00 AM,11/7/2022 1:04:00 PM,559,,jetBlue,Chicago O'Hare International,Los Angeles International
15062-2211071310--31722-1-13416-2211081532,259.2,1,11/7/2022 1:10:00 PM,11/8/2022 3:32:00 PM,1702,,United,Chicago O'Hare International,Los Angeles International
15062-2211071429--31722-1-13416-2211071911,351.6,1,11/7/2022 2:29:00 PM,11/7/2022 7:11:00 PM,402,,United,Chicago O'Hare International,Los Angeles International
15062-2211071324--32695,-32646-1-13416-2211071746,478.92,1,11/7/2022 1:24:00 PM,11/7/2022 5:46:00 PM,382,,Air Canada,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2211070745--31722-1-13416-2211071618,476.61,1,11/7/2022 7:45:00 AM,11/7/2022 4:18:00 PM,633,,United,Chicago O'Hare International,Los Angeles International
15062-2211071315--32573-1-13416-2211071846,293.91,1,11/7/2022 1:15:00 PM,11/7/2022 6:46:00 PM,451,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071820--32385-1-13416-2211072318,288.6,1,11/7/2022 6:20:00 PM,11/7/2022 11:18:00 PM,418,,Delta,Chicago O'Hare International,Los Angeles International
15062-2211071429--32695,-32571-1-13416-2211072155,389.09,1,11/7/2022 2:29:00 PM,11/7/2022 9:55:00 PM,566,,Air Canada,ANA (All Nippon Airways),Chicago O'Hare International,Los Angeles International
15062-2211070720--31722-1-13416-2211071200,471.61,1,11/7/2022 7:20:00 AM,11/7/2022 12:00:00 PM,400,,United,Chicago O'Hare International,Los Angeles International
15062-2211071705--32573-0-13416-2211071933,284.76,0,11/7/2022 5:05:00 PM,11/7/2022 7:33:00 PM,268,,American Airlines,Chicago O'Hare International,Los Angeles International
15062-2211071305--31722-1-13416-2211072246,272.2,1,11/7/2022 1:05:00 PM,11/7/2022 10:46:00 PM,701,,United,Chicago O'Hare International,Los Angeles International
15062-2211071415--31722,-32593-1-13416-2211072344,1497.8,1,11/7/2022 2:15:00 PM,11/7/2022 11:44:00 PM,689,,United,Alaska Airlines,Chicago O'Hare International,Los Angeles International
